Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8709,Pie-IX / Rouen,2019-11-06,00:00:00,0,0,1,15,3,7,28,1,2,1,0,0,3,1,0,0,0,0,139_439,62
8705,Pie-IX / Rouen,2019-11-05,00:00:00,0,0,3,7,1,1,18,1,1,5,0,4,2,2,0,0,0,0,139_439,45
8713,Pie-IX / Rouen,2019-11-07,00:00:00,0,0,0,23,1,3,22,1,2,3,2,0,2,3,0,0,0,0,139_439,62
8784,Métropolitain Nord / Provencher,2019-10-29,00:00:00,0,0,6,19,0,0,6,2,0,0,0,9,180,4,0,0,0,0,460,226
8785,Métropolitain Nord / Provencher,2019-10-30,00:00:00,0,0,1,9,0,0,15,3,0,0,0,7,211,4,0,0,0,0,460,250
8786,Métropolitain Nord / Provencher,2019-10-31,00:00:00,0,0,5,28,0,0,10,1,0,0,0,11,53,4,0,0,0,0,460,112
8709,Pie-IX / Rouen,2019-11-06,00:15:00,0,15,2,20,6,9,19,1,1,1,1,1,1,1,0,0,0,0,139_439,63
8784,Métropolitain Nord / Provencher,2019-10-29,00:15:00,0,15,2,18,0,0,5,1,0,0,0,10,184,4,0,0,0,0,460,224
8785,Métropolitain Nord / Provencher,2019-10-30,00:15:00,0,15,4,9,0,0,12,3,0,0,0,4,188,4,0,0,0,0,460,224
8786,Métropolitain Nord / Provencher,2019-10-31,00:15:00,0,15,4,29,0,0,10,4,0,0,0,4,32,3,0,0,0,0,460,86
8705,Pie-IX / Rouen,2019-11-05,00:15:00,0,15,0,19,2,3,18,1,2,1,0,1,3,2,0,0,0,0,139_439,52
8713,Pie-IX / Rouen,2019-11-07,00:15:00,0,15,1,20,2,2,21,0,2,3,3,1,2,2,0,0,0,0,139_439,59
8709,Pie-IX / Rouen,2019-11-06,00:30:00,0,30,0,17,0,2,15,0,2,1,0,1,0,1,0,0,0,0,139_439,39
8784,Métropolitain Nord / Provencher,2019-10-29,00:30:00,0,30,3,21,0,0,8,4,0,0,0,10,112,3,0,0,0,0,460,161
8785,Métropolitain Nord / Provencher,2019-10-30,00:30:00,0,30,5,9,0,0,19,2,0,0,0,4,130,1,0,0,0,0,460,170
8786,Métropolitain Nord / Provencher,2019-10-31,00:30:00,0,30,1,11,0,0,11,3,0,0,0,3,31,3,0,0,0,0,460,63
8705,Pie-IX / Rouen,2019-11-05,00:30:00,0,30,1,13,1,1,18,0,1,1,0,1,2,2,0,0,0,0,139_439,41
8713,Pie-IX / Rouen,2019-11-07,00:30:00,0,30,0,17,1,5,18,4,0,1,2,2,1,1,0,0,0,0,139_439,52
8705,Pie-IX / Rouen,2019-11-05,00:45:00,0,45,0,14,1,0,17,1,0,0,0,0,0,0,0,0,0,0,139_439,33
8713,Pie-IX / Rouen,2019-11-07,00:45:00,0,45,1,16,1,0,24,1,2,0,2,0,2,0,0,0,0,0,139_439,49
8709,Pie-IX / Rouen,2019-11-06,00:45:00,0,45,0,15,0,4,16,1,0,1,1,1,1,2,0,0,0,0,139_439,42
8784,Métropolitain Nord / Provencher,2019-10-29,00:45:00,0,45,2,10,0,0,10,4,0,0,0,13,122,3,0,0,0,0,460,164
8785,Métropolitain Nord / Provencher,2019-10-30,00:45:00,0,45,2,18,0,0,5,2,0,0,0,2,110,4,0,0,0,0,460,143
8786,Métropolitain Nord / Provencher,2019-10-31,00:45:00,0,45,4,13,0,0,4,1,0,0,0,7,22,3,0,0,0,0,460,54
8709,Pie-IX / Rouen,2019-11-06,01:00:00,1,0,1,13,1,3,17,0,2,2,1,0,2,0,0,0,0,0,139_439,42
8784,Métropolitain Nord / Provencher,2019-10-29,01:00:00,1,0,1,9,0,0,5,5,0,0,0,6,93,0,0,0,0,0,460,119
8785,Métropolitain Nord / Provencher,2019-10-30,01:00:00,1,0,2,7,0,0,7,3,0,0,0,9,124,2,0,0,0,0,460,154
8786,Métropolitain Nord / Provencher,2019-10-31,01:00:00,1,0,1,7,0,0,4,2,0,0,0,4,19,8,0,0,0,0,460,45
