line,delay_start,start_time,temp_start,rain_amt,snow_amt,delay_end,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,traffic
467.0,0.0,405.0,7.1,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,1.0,437.0,6.9,0.0,0.0,5,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,1.0,468.0,6.9,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,496.0,6.5,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,527.0,6.5,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,2.0,558.0,6.8,0.0,0.0,2,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,585.0,6.8,0.0,0.0,8,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,615.0,7.3,0.0,0.0,11,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,645.0,7.3,0.0,0.0,12,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,673.0,8.1,0.0,0.0,-2,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,704.0,8.1,0.0,0.0,9,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,735.0,8.9,0.0,0.0,8,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,765.0,8.9,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,796.0,9.3,0.0,0.0,12,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,826.0,9.3,0.0,0.0,4,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,856.0,9.9,0.0,0.0,6,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,884.0,9.9,0.0,0.0,8,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,917.0,10.8,0.0,0.0,5,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,948.0,10.8,0.0,0.0,4,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,977.0,10.9,0.0,0.0,5,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,-1.0,1007.0,10.9,0.0,0.0,4,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,1032.0,10.7,0.0,0.0,4,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,1078.0,10.7,0.0,0.0,-1,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
467.0,0.0,1103.0,8.5,0.0,0.0,2,4.0,23686.0,1360.0,24.0,22980.0,2144.0,3649.0,6359.0,1672.0,47.0,7033.0,2113.0,71071.0
